DATE,PRODUIT,QUANTITE
2022-07-22 00:00:00,T04,258
2022-07-22 00:00:00,T05,121
2022-07-22 00:00:00,T06,304
2022-07-22 00:00:00,T07,74
2022-07-22 00:00:00,T08,0
2022-07-23 00:00:00,PR,0
2022-07-23 00:00:00,PR1,197
2022-07-23 00:00:00,PR2,526
2022-07-23 00:00:00,PR3,174
2022-07-23 00:00:00,T03,239
2022-07-23 00:00:00,T04,242
2022-07-23 00:00:00,T05,165
2022-07-23 00:00:00,T06,234
2022-07-23 00:00:00,T07,53
2022-07-23 00:00:00,T08,0
2022-07-24 00:00:00,PR,0
2022-07-24 00:00:00,PR1,108
2022-07-24 00:00:00,PR2,320
2022-07-24 00:00:00,PR3,164
2022-07-24 00:00:00,T03,158
2022-07-24 00:00:00,T04,250
2022-07-24 00:00:00,T05,169
2022-07-24 00:00:00,T06,273
2022-07-24 00:00:00,T07,98
2022-07-24 00:00:00,T08,0
2022-07-25 00:00:00,PR,0
2022-07-25 00:00:00,PR1,103
2022-07-25 00:00:00,PR2,514
2022-07-25 00:00:00,PR3,293
2022-07-25 00:00:00,T03,154
2022-07-25 00:00:00,T04,172
2022-07-25 00:00:00,T05,197
2022-07-25 00:00:00,T06,409
2022-07-25 00:00:00,T07,121
2022-07-25 00:00:00,T08,0
2022-07-26 00:00:00,PR,0
2022-07-26 00:00:00,PR1,70
2022-07-26 00:00:00,PR2,370
2022-07-26 00:00:00,PR3,142
2022-07-26 00:00:00,T03,122
2022-07-26 00:00:00,T04,141
2022-07-26 00:00:00,T05,143
2022-07-26 00:00:00,T06,289
2022-07-26 00:00:00,T07,86
2022-07-26 00:00:00,T08,0
2022-07-27 00:00:00,PR,0
2022-07-27 00:00:00,PR1,82
2022-07-27 00:00:00,PR2,668
2022-07-27 00:00:00,PR3,437
2022-07-27 00:00:00,T03,81
2022-07-27 00:00:00,T04,216
2022-07-27 00:00:00,T05,162
2022-07-27 00:00:00,T06,443
2022-07-27 00:00:00,T07,252
2022-07-27 00:00:00,T08,0
2022-07-28 00:00:00,PR,0
2022-07-28 00:00:00,PR1,60
2022-07-28 00:00:00,PR2,490
2022-07-28 00:00:00,PR3,438
2022-07-28 00:00:00,T03,94
2022-07-28 00:00:00,T04,166
2022-07-28 00:00:00,T05,236
2022-07-28 00:00:00,T06,684
2022-07-28 00:00:00,T07,498
2022-07-28 00:00:00,T08,0
2022-07-29 00:00:00,PR,0
2022-07-29 00:00:00,PR1,38
2022-07-29 00:00:00,PR2,294
2022-07-29 00:00:00,PR3,351
2022-07-29 00:00:00,T03,116
2022-07-29 00:00:00,T04,232
2022-07-29 00:00:00,T05,308
2022-07-29 00:00:00,T06,694
2022-07-29 00:00:00,T07,337
2022-07-29 00:00:00,T08,0
2022-07-30 00:00:00,PR,0
2022-07-30 00:00:00,PR1,98
2022-07-30 00:00:00,PR2,307
2022-07-30 00:00:00,PR3,329
2022-07-30 00:00:00,T03,126
2022-07-30 00:00:00,T04,171
2022-07-30 00:00:00,T05,337
2022-07-30 00:00:00,T06,608
2022-07-30 00:00:00,T07,377
2022-07-30 00:00:00,T08,0
2022-07-31 00:00:00,PR,0
2022-07-31 00:00:00,PR1,20
2022-07-31 00:00:00,PR2,94
2022-07-31 00:00:00,PR3,73
2022-07-31 00:00:00,T03,75
2022-07-31 00:00:00,T04,152
2022-07-31 00:00:00,T05,157
2022-07-31 00:00:00,T06,180
2022-07-31 00:00:00,T07,69
2022-07-31 00:00:00,T08,0
2022-08-01 00:00:00,PR,0
2022-08-01 00:00:00,PR1,15
2022-08-01 00:00:00,PR2,66
2022-08-01 00:00:00,PR3,29
2022-08-01 00:00:00,T03,81
2022-08-01 00:00:00,T04,83
2022-08-01 00:00:00,T05,79
2022-08-01 00:00:00,T06,128
2022-08-01 00:00:00,T07,40
2022-08-01 00:00:00,T08,0
2022-08-02 00:00:00,PR,0
2022-08-02 00:00:00,PR1,20
2022-08-02 00:00:00,PR2,115
2022-08-02 00:00:00,PR3,82
2022-08-02 00:00:00,T03,84
2022-08-02 00:00:00,T04,174
2022-08-02 00:00:00,T05,232
2022-08-02 00:00:00,T06,369
2022-08-02 00:00:00,T07,184
2022-08-02 00:00:00,T08,0
2022-08-03 00:00:00,PR,0
2022-08-03 00:00:00,PR1,26
2022-08-03 00:00:00,PR2,119
2022-08-03 00:00:00,PR3,102
2022-08-03 00:00:00,T03,120
2022-08-03 00:00:00,T04,193
2022-08-03 00:00:00,T05,249
2022-08-03 00:00:00,T06,465
2022-08-03 00:00:00,T07,232
2022-08-03 00:00:00,T08,0
2022-08-04 00:00:00,PR,0
2022-08-04 00:00:00,PR1,35
2022-08-04 00:00:00,PR2,159
2022-08-04 00:00:00,PR3,207
2022-08-04 00:00:00,T03,163
2022-08-04 00:00:00,T04,227
2022-08-04 00:00:00,T05,367
2022-08-04 00:00:00,T06,510
2022-08-04 00:00:00,T07,261
2022-08-04 00:00:00,T08,0
2022-08-05 00:00:00,PR,0
2022-08-05 00:00:00,PR1,23
2022-08-05 00:00:00,PR2,165
2022-08-05 00:00:00,PR3,214
2022-08-05 00:00:00,T03,77
2022-08-05 00:00:00,T04,219
2022-08-05 00:00:00,T05,248
2022-08-05 00:00:00,T06,491
2022-08-05 00:00:00,T07,233
2022-08-05 00:00:00,T08,0
2022-08-06 00:00:00,PR,0
2022-08-06 00:00:00,PR1,23
2022-08-06 00:00:00,PR2,175
2022-08-06 00:00:00,PR3,170
2022-08-06 00:00:00,T03,107
2022-08-06 00:00:00,T04,179
2022-08-06 00:00:00,T05,183
2022-08-06 00:00:00,T06,376
2022-08-06 00:00:00,T07,213
2022-08-06 00:00:00,T08,0
